arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h8,8,weight_decay,4,4,42,normal,90.440000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,4,43,normal,90.410000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,4,44,normal,81.020000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,8,40,normal,92.880000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,8,41,normal,87.240000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,8,42,normal,90.710000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,8,43,normal,91.080000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,8,44,normal,82.040000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,16,40,normal,92.980000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,16,41,normal,87.460000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,16,42,normal,90.680000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,16,43,normal,91.100000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,16,44,normal,82.430000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,32,40,normal,93.040000,mnist-checkpoints/fc3_h8_L[4]_strict_seed40_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,32,41,normal,87.590000,mnist-checkpoints/fc3_h8_L[4]_strict_seed41_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,32,42,normal,90.920000,mnist-checkpoints/fc3_h8_L[4]_strict_seed42_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,32,43,normal,91.300000,mnist-checkpoints/fc3_h8_L[4]_strict_seed43_ablation_wd_l4_fc3_h8.pth
fc3_h8,8,weight_decay,4,32,44,normal,82.490000,mnist-checkpoints/fc3_h8_L[4]_strict_seed44_ablation_wd_l4_fc3_h8.pth
