family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3,fc3_h128,h128,128,,,weight_decay,32,0,40,normal,97.800000,mnist-checkpoints/fc3_h128_L[32]_strict_seed40_ablation_wd_l32_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,32,0,41,normal,98.010000,mnist-checkpoints/fc3_h128_L[32]_strict_seed41_ablation_wd_l32_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,32,0,42,normal,97.760000,mnist-checkpoints/fc3_h128_L[32]_strict_seed42_ablation_wd_l32_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,32,0,43,normal,97.730000,mnist-checkpoints/fc3_h128_L[32]_strict_seed43_ablation_wd_l32_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,32,0,44,normal,97.810000,mnist-checkpoints/fc3_h128_L[32]_strict_seed44_ablation_wd_l32_fc3_h128.pth
fc3,fc3_h16,h16,16,,,weight_decay,2,0,40,normal,94.190000,mnist-checkpoints/fc3_h16_L[2]_strict_seed40_ablation_wd_l2_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,2,0,41,normal,94.840000,mnist-checkpoints/fc3_h16_L[2]_strict_seed41_ablation_wd_l2_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,2,0,42,normal,93.830000,mnist-checkpoints/fc3_h16_L[2]_strict_seed42_ablation_wd_l2_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,2,0,43,normal,94.870000,mnist-checkpoints/fc3_h16_L[2]_strict_seed43_ablation_wd_l2_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,2,0,44,normal,94.470000,mnist-checkpoints/fc3_h16_L[2]_strict_seed44_ablation_wd_l2_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,4,0,40,normal,91.230000,mnist-checkpoints/fc3_h16_L[4]_strict_seed40_ablation_wd_l4_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,4,0,41,normal,94.520000,mnist-checkpoints/fc3_h16_L[4]_strict_seed41_ablation_wd_l4_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,4,0,42,normal,95.110000,mnist-checkpoints/fc3_h16_L[4]_strict_seed42_ablation_wd_l4_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,4,0,43,normal,95.930000,mnist-checkpoints/fc3_h16_L[4]_strict_seed43_ablation_wd_l4_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,4,0,44,normal,95.070000,mnist-checkpoints/fc3_h16_L[4]_strict_seed44_ablation_wd_l4_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,8,0,40,normal,92.710000,mnist-checkpoints/fc3_h16_L[8]_strict_seed40_ablation_wd_l8_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,8,0,41,normal,95.330000,mnist-checkpoints/fc3_h16_L[8]_strict_seed41_ablation_wd_l8_fc3_h16.pth
fc3,fc3_h16,h16,16,,,weight_decay,8,0,42,normal,93.840000,mnist-checkpoints/fc3_h16_L[8]_strict_seed42_ablation_wd_l8_fc3_h16.pth
